"","EOF1","EOF2","EOF3","EOF4","EOF5","EOF6","EOF7","EOF8","EOF9","EOF10","EOF11","EOF12","EOF13","EOF14","EOF15","EOF16","EOF17"
"437.3",-0.210323566416494,0.068414092332286,-0.185831993466986,-0.0213926777158132,0.0506204310316509,-0.178399923199622,0.135430104040896,-0.217315379714209,0.000457115080058162,-0.131605034574982,0.0194806158558923,-0.0550985378191468,-0.0870847057593208,0.0535070684349241,0.00605157296821433,-0.372982618369347,0.255213035578707
"441.4",-0.21186980017936,0.129300067664297,-0.1191306286838,0.10935138330881,0.0697116054614613,-0.0017826744302625,-0.0331255711299995,-0.220572957127623,0.0010174572218411,-0.127021642510384,-0.137678667717681,0.072687416360473,-0.00431344934452421,-0.251454771674026,0.260040855318311,0.11342024869397,0.0177567635294058
"445.8",-0.204702854478187,0.13883264914545,-0.0965794267168558,0.108445581115576,0.0392228110879928,0.00263191741819575,0.0281149857726439,0.000930866487740684,0.133876201059725,-0.105715734296247,-0.16436902518094,-0.116514479528514,0.0193223425051105,-0.14920927340648,-0.253729918201536,0.277395168660329,0.226087085062886
"450.6",-0.198532055609815,0.138988188381059,-0.0705986992642824,0.153063274210859,-0.0520599279708853,-0.074345244406898,0.0538369040418164,-0.166395186539438,7.91329300145818e-05,0.0888718080948085,-0.140353460624882,0.0887359365452864,0.0741488837674447,-0.0227837692070039,0.242175956581191,0.393608784322319,-0.014684419553929
"455.2",-0.190103645507184,0.143074486296456,-0.00193306950140755,0.112005165255375,-0.00476349396940598,0.0317339829709457,0.016745851653712,0.0113437099283035,0.0105506781601734,0.0318474368171017,-0.0614159583078932,-0.062620269481088,0.155683979400483,-0.0890150962099895,-0.197348633381065,0.303324962075901,0.0585297537887808
"459.4",-0.18207192750693,0.133676986918805,0.0460947856666431,0.104163739791109,-0.104472291132152,0.00884817444324731,-0.0766897454969263,0.0564452342912726,0.105108676649136,0.0488685225527609,0.122864806965712,-0.0325708286517465,0.0316999994082066,-0.0528852236034109,-0.00483796547261284,0.183519694205687,-0.0906295301690399
"463.6",-0.171933576290016,0.122121162838303,0.0867253426017571,0.0247194508133339,-0.0849435770944218,0.0531447376869531,0.023247088537246,0.086091754816251,-0.0590359588878975,0.137265512121309,0.0889160529758475,-0.0591505487097701,0.0693427789472585,0.120012926682787,-0.0433455783869754,0.0695838430265163,-0.25827487265374
"468.2",-0.161232582467123,0.12204590018794,0.106558535693499,0.00969776805774277,-0.0836016321515276,0.0440735778667703,-0.104292766806502,0.195438521403312,0.123482895943133,0.0376215923123963,0.281168947145231,-0.117484996430294,0.058846391430738,-0.0449446509404802,-0.191827249815488,-0.0432242056032507,-0.122453322557692
"472.7",-0.149285043174982,0.119369983494534,0.130238286133482,0.00187799436452948,-0.0906446567280349,0.0537373228021746,-0.0828559584296572,0.150213577636699,-0.0198263106751747,0.178651123588824,0.132201577250844,0.00851897510199226,-0.0279364687956731,0.110598780482255,0.142699819394324,-0.0526205398353675,-0.275958426840923
"477.6",-0.139046370708442,0.123454239267108,0.135959053923506,0.0135455659114243,-0.130889119826467,-0.00618391306928489,-0.0118157048365992,0.0699181338600254,-0.0302414865496001,0.117232576929297,0.121706820204479,-0.0218748304299355,-0.0985696649927841,0.081701867401894,0.0940634383687985,-0.0918572075542519,-0.104247430351545
"482.5",-0.126595524638913,0.123111263381581,0.155884355891067,0.0227217895259241,-0.0666994829641017,0.0148972237013012,-0.0191920043420258,0.092601451600296,0.0455738052480339,0.0375937931415522,0.0633696694985426,-0.0849844225124367,-0.172694554637146,0.100133592914267,-0.104918810515351,-0.0510282424445813,0.084772094026358
"486.9",-0.113783701897001,0.118916917060268,0.15376286309043,0.0310811871730752,-0.0640331949090581,0.0108303499223599,-0.0228071988350302,0.0583931603520804,-0.00798587678393371,0.0224338194542666,0.0272867626844387,0.0878485642747436,-0.250952062510495,0.104253193020831,0.0185011778672453,-0.147647900190469,0.130493394681426
"491.3",-0.0972981069202744,0.1120047911996,0.1621395886872,0.0498093127663066,-0.0643239800412434,-0.000476268270885139,-0.0014996932010674,0.0187379844789091,-0.00554035745791727,-0.0894234168325288,0.0177975054911127,0.0130007429275542,-0.171785125097581,0.0160893790585317,0.0263909214734017,-0.112325181001234,0.238354441660285
"495.4",-0.0772649956392502,0.101297525555631,0.169646665602878,0.0422286728757131,-0.0379004522080024,0.0430254654991164,-0.00743863234053889,0.0367053187719737,-0.0384760117005397,-0.0959595822036843,-0.0815325314348613,0.099411130263328,-0.0976230886528906,-0.0196617210546542,-0.0979231796367759,-0.0753931421704281,0.158011584278314
"499.8",-0.0545734479668957,0.0664588475258352,0.156573183403787,0.00447174254287373,-0.0294650177111322,-0.0209234953120269,0.0191102062181321,-0.0444401416128754,-0.0256031605555138,-0.0614306326120216,-0.112976876538258,0.115740612681176,0.00194480200710611,0.0656990406306193,0.0245242535060423,-0.162740958148739,0.148741274353134
"504.3",-0.0315843474349734,0.0479402248870673,0.180084004597826,-0.0134884572197163,-0.00234863437449892,0.0362476719501569,-0.0127686574887073,0.0257784013831109,-0.00891332051488321,-0.0916836960006194,-0.114737802090327,0.0491658907301133,0.174135559781597,-0.0096899639089413,-0.0562404912174934,-0.0827022697949544,0.144481084272736
"509.2",-0.0124192813813288,0.0181653004383025,0.171737137548641,-0.0460109163067049,-0.0235418648610727,-0.0239835705970492,-0.0240581134555742,-0.0639988008092932,-0.0125890416983937,-0.0554865735005403,-0.143727191809292,0.11125538789096,0.189819167535741,0.0527759260773032,0.0159246979003604,-0.0805164937835439,0.0240252054700173
"513.9",0.00655665199688509,-0.0065013077019166,0.186492572770215,-0.0858307259064218,-0.0265646761628193,-0.00724369711419634,0.0380954746044685,-0.0177786156900068,0.00463446180428116,0.00751771517728971,-0.152059154474229,0.130042061673942,0.230043028988844,0.0825889022676317,0.00765093516043666,-0.0838064611032782,0.0169253860066082
"518.7",0.0209336522144314,-0.0174209195843811,0.189681575718887,-0.112840551017109,0.0367112343618733,0.039832280914955,-0.00623929384073662,0.0210214531263531,0.0103745954033816,-0.041742666146478,-0.113470010498521,0.0365013612008092,0.212333940860909,0.00422007451749086,-0.110132400131588,-0.0906631912258666,0.0156550268358131
